Date,Close/Last,Volume,Open,High,Low
02/13/2019,263.1904,--,263.6016,263.61,261.8014
02/12/2019,262.4651,--,261.4523,262.5882,261.0652
02/11/2019,259.7576,--,258.9049,259.9417,258.3711
02/08/2019,257.7944,--,256.2032,258.0389,254.6292
02/07/2019,258.0751,--,260.732,261.2387,254.3991
02/06/2019,262.9423,--,262.2279,265.3937,262.2279
02/05/2019,261.3324,--,258.9514,261.4478,258.8981
02/04/2019,259.4713,--,257.1874,259.4746,255.5156
02/01/2019,256.4724,--,255.6226,257.4218,255.0657
01/31/2019,255.5419,--,252.2023,256.7223,252.1894
01/30/2019,252.8102,--,251.6154,253.5394,250.2883
01/29/2019,250.1131,--,251.2241,251.683,249.8769
01/28/2019,250.8041,--,247.9849,251.3942,247.9486
01/25/2019,251.2857,--,248.7422,252.4056,248.7355
01/24/2019,246.8676,--,240.2885,247.0157,240.2196
01/23/2019,239.49,--,241.05,241.7021,237.4603
01/22/2019,240.3753,--,244.4316,244.4826,239.0447
01/18/2019,246.0599,--,246.0201,248.213,245.2887
01/17/2019,245.958,--,242.511,247.1535,242.168
01/16/2019,243.4849,--,242.6356,245.1108,242.6076
01/15/2019,242.3027,--,241.874,242.7889,241.2716
01/14/2019,241.6529,--,243.2652,243.4214,241.2906
01/11/2019,245.7807,--,242.9438,246.524,242.4929
01/10/2019,244.0145,--,238.9943,244.1378,238.4489
01/09/2019,240.4048,--,238.5215,241.2506,238.4896
01/08/2019,237.1688,--,237.952,238.3918,234.3982
01/07/2019,235.193,--,233.6109,237.3234,231.8576
01/04/2019,232.7849,--,226.0056,233.3186,226.0056
01/03/2019,223.0881,--,228.5528,228.584,222.993
01/02/2019,230.6273,--,226.3832,231.3539,225.2168
12/31/2018,230.8933,--,230.4565,230.904,227.846
12/28/2018,228.9159,--,228.6771,231.7285,227.006
12/27/2018,227.8058,--,223.7726,227.8656,220.5423
12/26/2018,227.0766,--,216.1899,227.104,215.5523
12/24/2018,214.9683,--,219.432,220.1437,214.9683
12/21/2018,221.7982,--,226.2015,227.7552,221.5163
12/20/2018,225.2611,--,228.5094,230.5055,222.2399
12/19/2018,230.6303,--,235.3505,237.6176,229.5517
12/18/2018,235.6007,--,236.9335,239.5077,235.0068
12/17/2018,235.2093,--,241.203,242.2434,233.9791
12/14/2018,242.1444,--,244.3831,246.5468,241.7369
12/13/2018,246.6705,--,247.9768,248.4422,246.0709
12/12/2018,246.9202,--,247.3337,249.2693,246.1499
12/11/2018,244.6056,--,248.4831,248.9179,243.6549
12/10/2018,245.182,--,244.275,245.8967,241.6267
12/07/2018,244.3109,--,250.4677,252.7292,243.8734
12/06/2018,249.9476,--,247.0352,249.9539,244.4667
12/04/2018,250.6236,--,258.1466,259.3263,250.4127
12/03/2018,258.9197,--,259.0767,260.0007,256.9663
11/30/2018,254.4117,--,252.236,254.6975,251.2432
11/29/2018,253.6458,--,253.8993,255.0273,251.7665
11/28/2018,254.9004,--,250.8963,254.9162,248.9823
11/27/2018,249.5244,--,248.1036,251.0658,247.919
11/26/2018,249.7998,--,247.1793,250.0114,247.1134
11/23/2018,244.968,--,243.4101,246.7242,243.3587
11/21/2018,245.2123,--,244.4768,246.953,243.5025
11/20/2018,242.5602,--,242.4526,244.6049,239.8202
11/19/2018,246.629,--,250.3896,250.9378,246.4385
11/16/2018,250.7576,--,246.3043,251.1843,246.2903
11/15/2018,248.5008,--,242.8575,249.062,242.677
11/14/2018,243.7759,--,246.3923,247.6209,242.1481
11/13/2018,244.3943,--,244.6864,248.3024,243.5606
11/12/2018,243.4543,--,250.1322,250.1695,243.2758
11/09/2018,251.2997,--,252.1597,252.35,249.1825
11/08/2018,254.3949,--,254.8568,255.6875,253.3918
11/07/2018,255.6381,--,252.5705,255.6838,251.8616
11/06/2018,251.1696,--,250.0996,252.136,249.4526
11/05/2018,250.8936,--,250.9475,252.1523,249.1937
11/02/2018,251.4898,--,251.2313,252.2784,249.0572
11/01/2018,253.0727,--,246.43,253.8078,246.4129
10/31/2018,246.0073,--,244.4323,247.5888,243.1239
10/30/2018,241.1042,--,233.638,241.1945,233.3036
10/29/2018,234.3567,--,237.8172,240.5564,231.5841
10/26/2018,233.7065,--,231.9884,237.2829,229.9178
10/25/2018,236.0801,--,234.4062,237.0169,232.9711
10/24/2018,230.6146,--,239.1829,240.11,230.574
10/23/2018,239.3012,--,236.2066,240.4174,233.1799
10/22/2018,239.78,--,240.7842,240.7842,237.9443
10/19/2018,239.7354,--,242.3934,243.4178,238.3612
10/18/2018,241.8058,--,245.2638,245.3151,240.7407
