"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2019","2.6225","2.6195","2.6195","2.6195","0.99K","-0.70%"
"Sep 30, 2019","2.6410","2.6370","2.6370","2.6370","0.70K","-0.70%"
"Sep 27, 2019","2.6595","2.6555","2.6555","2.6555","0.30K","0.76%"
"Sep 26, 2019","2.6395","2.6355","2.6355","2.6355","0.45K","-1.18%"
"Sep 25, 2019","2.6710","2.6670","2.6670","2.6670","0.45K","0.21%"
"Sep 24, 2019","2.6655","2.6615","2.6615","2.6615","0.22K","-0.24%"
"Sep 23, 2019","2.6720","2.6680","2.6680","2.6680","0.24K","0.15%"
"Sep 20, 2019","2.6680","2.6640","2.6640","2.6640","0.38K","-0.15%"
"Sep 19, 2019","2.6720","2.6680","2.6680","2.6680","0.37K","-0.15%"
"Sep 18, 2019","2.6760","2.6720","2.6720","2.6720","0.30K","-0.59%"
"Sep 17, 2019","2.6920","2.6880","2.6880","2.6880","0.39K","-0.61%"
"Sep 16, 2019","2.7085","2.7045","2.7045","2.7045","0.00K","-1.79%"
"Sep 13, 2019","2.7580","2.7540","2.7540","2.7540","0.80K","2.13%"
"Sep 12, 2019","2.7005","2.6965","2.6965","2.6965","0.71K","0.90%"
"Sep 11, 2019","2.6765","2.6725","2.6725","2.6725","0.61K","-0.35%"
"Sep 10, 2019","2.6860","2.6820","2.6820","2.6820","0.21K","0.04%"
"Sep 09, 2019","2.6850","2.6810","2.6810","2.6810","0.16K","-0.33%"
"Sep 06, 2019","2.6940","2.6900","2.6900","2.6900","0.58K","-0.31%"
"Sep 05, 2019","2.7025","2.6985","2.6985","2.6985","0.22K","1.85%"
"Sep 04, 2019","2.6535","2.6495","2.6495","2.6495","0.39K","2.51%"
"Sep 03, 2019","2.5885","2.5845","2.5845","2.5845","0.62K","2.23%"
"Sep 02, 2019","2.5320","2.5520","2.5670","2.5280","-","-0.78%"
"Sep 01, 2019","2.5520","2.5570","2.5570","2.5470","-","-2.30%"
"Aug 30, 2019","2.6120","2.6080","2.6080","2.6080","0.39K","-0.91%"
"Aug 29, 2019","2.6360","2.6320","2.6320","2.6320","0.67K","0.44%"
"Aug 28, 2019","2.6245","2.6205","2.6205","2.6205","0.25K","0.40%"
"Aug 27, 2019","2.6140","2.6100","2.6100","2.6100","0.49K","0.06%"
"Aug 26, 2019","2.6125","2.6085","2.6085","2.6085","0.13K","0.46%"
"Aug 23, 2019","2.6005","2.5965","2.5965","2.5965","0.16K","-1.14%"
"Aug 22, 2019","2.6305","2.6265","2.6265","2.6265","0.19K","-0.87%"
"Aug 21, 2019","2.6535","2.6495","2.6495","2.6495","0.60K","0.26%"
