Date,Open,High,Low,Close,null
20000726,1474.46997,1474.46997,1452.41992,1452.41992,0
20000727,1452.41992,1464.75,1445.2998,1449.61987,0
20000728,1449.62012,1456.3501,1414.15991,1419.88989,0
20000731,1419.88989,1437.62988,1418.25977,1430.82983,0
20000801,1430.83008,1443.52002,1428.83984,1438.09985,0
20000802,1438.1001,1451.58008,1433.53979,1438.69995,0
20000803,1438.69995,1454.3501,1426.0498,1452.55981,0
20000804,1452.56006,1462.92993,1451.45996,1462.92993,0
20000807,1462.92993,1480.88989,1460.78979,1479.31982,0
20000808,1479.32007,1484.52002,1472.60986,1482.7998,0
20000809,1482.80005,1490.33008,1471.15991,1472.86987,0
20000810,1472.87012,1475.1499,1459.88989,1460.25,0
20000811,1460.25,1475.6001,1452.90991,1471.83984,0
20000814,1471.84009,1491.58008,1468.59985,1491.55981,0
20000815,1491.56006,1493.04004,1482.84985,1484.42993,0
20000816,1484.42993,1494.72998,1475.80981,1479.84985,0
20000817,1479.8501,1499.45996,1479.84985,1496.06982,0
20000818,1496.07007,1499.44995,1488.93994,1491.71997,0
20000821,1491.71997,1502.94995,1491.11987,1499.47998,0
20000822,1499.47998,1508.17993,1497.55981,1498.12988,0
20000823,1498.12988,1507.30005,1489.38989,1505.96997,0
20000824,1505.96997,1511.15991,1501.2998,1508.30981,0
20000825,1508.31006,1513.40991,1505.15991,1506.44995,0
20000828,1506.45996,1523.87988,1506.45996,1514.08984,0
20000829,1514.09009,1514.81006,1505.45996,1509.83984,0
20000830,1509.84009,1510.43994,1500.07983,1502.58984,0
20000831,1502.59009,1525.30005,1502.58984,1517.67993,0
20000901,1517.67993,1530.01001,1515.59985,1520.76978,0
20000905,1520.77002,1520.77002,1504.20996,1507.07983,0
20000906,1507.08008,1512.37012,1492.18994,1492.25,0
20000907,1492.25,1505.22998,1492.25,1502.50977,0
20000908,1502.51001,1502.51001,1489.92993,1494.5,0
20000911,1494.5,1506.59009,1483.02979,1489.25977,0
20000912,1489.26001,1496.6001,1479.92993,1481.98999,0
20000913,1481.98999,1487.36011,1474.02979,1484.90991,0
20000914,1484.90991,1494.27002,1476.76978,1480.86987,0
20000915,1480.87012,1480.87012,1460.53979,1465.80981,0
20000918,1465.81006,1467.87988,1441.75977,1444.50977,0
20000919,1444.51001,1461.05005,1444.50977,1459.8999,0
20000920,1459.8999,1460.72998,1430.94995,1451.33984,0
20000921,1451.34009,1452.8999,1436.18994,1449.0498,0
20000922,1449.05005,1449.40991,1421.87988,1448.71997,0
20000925,1448.71997,1457.36011,1436.07983,1439.02979,0
20000926,1439.03003,1447.73999,1425.28979,1427.20996,0
20000927,1427.20996,1436.73999,1419.53979,1426.56982,0
20000928,1426.57007,1461.6499,1425.78979,1458.28979,0
20000929,1458.29004,1458.29004,1436.47998,1436.50977,0
20001002,1436.52002,1445.51001,1429.75,1436.22998,0
20001003,1436.22998,1454.82007,1425.27979,1426.45996,0
20001004,1426.45996,1439.98999,1416.30981,1434.31982,0
20001005,1434.32007,1444.16992,1431.7998,1436.27979,0
20001006,1436.28003,1443.30005,1397.05981,1408.98999,0
20001009,1408.98999,1409.68994,1392.47998,1402.02979,0
20001010,1402.03003,1408.83008,1383.84985,1387.01978,0
20001011,1387.02002,1387.02002,1349.66992,1364.58984,0
20001012,1364.59009,1374.92993,1329.05981,1329.77979,0
20001013,1329.78003,1374.16992,1326.80981,1374.16992,0
20001016,1374.16992,1379.47998,1365.05981,1374.61987,0
20001017,1374.62012,1380.98999,1342.33984,1349.96997,0
20001018,1349.96997,1356.6499,1305.78979,1342.12988,0
20001019,1342.12988,1389.92993,1342.12988,1388.75977,0
20001020,1388.76001,1408.46997,1382.18994,1396.92993,0
20001023,1396.92993,1406.95996,1387.75,1395.77979,0
20001024,1395.78003,1415.63989,1388.12988,1398.12988,0
20001025,1398.12988,1398.12988,1362.20996,1364.8999,0
20001026,1364.8999,1372.71997,1337.76978,1364.43994,0
20001027,1364.43994,1384.57007,1364.12988,1379.57983,0
20001030,1379.58008,1406.36011,1376.85986,1398.65991,0
20001031,1398.65991,1432.21997,1398.65991,1429.3999,0
20001101,1429.3999,1429.6001,1410.44995,1421.21997,0
20001102,1421.21997,1433.27002,1421.12988,1428.31982,0
20001103,1428.32007,1433.20996,1420.91992,1426.68994,0
20001106,1428.76001,1438.45996,1427.71997,1432.18994,0
20001107,1432.18994,1436.21997,1423.25977,1431.86987,0
20001108,1431.87012,1437.28003,1408.77979,1409.27979,0
20001109,1409.28003,1409.28003,1369.67993,1400.13989,0
20001110,1400.13989,1400.13989,1365.96997,1365.97998,0
20001113,1365.97998,1365.97998,1328.61987,1351.25977,0
